word;SemField;SemField2;Aktionsart2;1_3sg_pp;1_3sg_pres_ind;1_3sg_imp;inf;ger;extra;fr;intensified
essere;verb.stative;;stativo;;Illocutionary Force;Illocutionary Force;Modal/sentence intensification;;v. intr.;Illocutionary Force_Illocutionary Force_Modal/sentence intensification;sì
dire;verb.communication;;puntuale atelico;Illocutionary Force;Illocutionary Force;;;;v. tr., v. intr.;Illocutionary Force_Illocutionary Force;sì
dire2;verb.communication;;risultativo;;;;;;v. tr., v. intr.;;no
dovere;verb.stative;;stativo;;Manner;Illocutionary Force;;;v. tr.;Manner_Illocutionary Force;sì
stare;verb.stative;;stativo;Completion;Illocutionary Force;;Illocutionary Force;;v. intr.;Completion_Illocutionary Force_Illocutionary Force;sì
potere;verb.stative;;stativo;Illocutionary Force;;;;;v. tr., v. intr.;Illocutionary Force;sì
venire;verb.motion;;risultativo;Intensity;Illocutionary Force;;;;v. intr.;Intensity_Illocutionary Force;sì
sentire;verb.perception;verb.emotion;stativo;Intensity;Reiteration;Intensity;;;v. tr., v. intr.;Intensity_Reiteration_Intensity;sì
mettere;verb.contact;verb.change;puntuale telico;;;;;;v. tr., v. intr.;;no
guardare;verb.perception;;attivit√†;;Manner;;Modal/sentence intensification;Manner;v. tr., v. intr.;Manner_Modal/sentence intensification_Manner;sì
chiamare;verb.communication;;puntuale telico;Reiteration;;;;;v. tr.;Reiteration;sì
chiamare2;verb.communication;;risultativo;;Manner;;;;v. tr.;Manner;sì
trovare;verb.possession;;puntuale telico;Illocutionary Force;Illocutionary Force;;Reiteration;;v. tr.;Illocutionary Force_Illocutionary Force_Reiteration;sì
scrivere;verb.creation;;risultativo;Argument Quantity;Manner;;Modal/sentence intensification;;v. tr.;Argument Quantity_Manner_Modal/sentence intensification;sì
portare;verb.motion;verb.contact;risultativo;;Illocutionary Force;;;;v. tr., v. intr.;Illocutionary Force;sì
ricordare;verb.cognition;;stativo;Manner;;;;;v. tr.;Manner;sì
sembrare;verb.perception;verb.stative;stativo;;;;;;v. intr.;;no
lasciare;verb.motion;;stativo;;;;Illocutionary Force;;v. tr.;Illocutionary Force;sì
lasciare2;verb.social;;puntuale telico;;Illocutionary Force;;;;v. tr.;Illocutionary Force;sì
scusare;verb.communication;;puntuale atelico;Reiteration;Intensity;;Reiteration;;v. tr., v. intr.;Reiteration_Intensity_Reiteration;sì
